PolicyNumber,CarrierCode,AgentCode,TransactionType,PolicyEffectiveDate,PolicyExpirationDate,TransactionEffectiveDate,TermLengthMonths,LineOfBusiness,Subline,InsuredName,InsuredPrimaryEmail,RiskLocationAddress,State,InsuredMailingAddress,RatedDriverCount,VehicleCount,DwellingYearBuilt,ConstructionType,ProtectionClass,Limit_BI,Limit_PD,Deductible_Collision,Deductible_Comprehensive,TermPremium,WrittenPremium,EarnedPremium,BillingPlan,CancellationDate,ReinstatementDate,RewriteIndicator,eDocIndicator,UnearnedPremium
WRN4377362,GEIC,120232,New,4/1/2025,4/1/2026,4/1/2025,12,Personal Auto,Private Passenger Auto,Elizabeth Burgess,elizabeth.burgess@insmail.com,"650 Debra Meadows, New Masonshire, PA 92341",PA,"650 Debra Meadows, New Masonshire, PA 92341",1,3,,,,25/50,100000,1000,1000,4000,4000,3002.74,Direct Bill,,,FALSE,TRUE,997.26
HGZ5818369,CHUB,120149,Endorsement,4/1/2025,4/1/2026,6/27/2025,12,Umbrella,Personal Umbrella,Joseph Byrd,joseph.byrd@insmail.com,"637 Lori Common, New Walter, WA 80434",WA,"08445 Harrison Skyway, Sanchezberg, UT 72093",,,,,,,,,,349.37,18.73,262.27,Direct Bill,,,FALSE,FALSE,87.1
NCR2124443,LIBM,120240,Renewal,4/1/2025,4/1/2026,4/1/2025,12,Homeowners,HO3,Ethan Blake,ethan.blake@customer.net,"70875 Miranda Lights, Wrightton, PR 81304",PR,"1607 Angelica Club, Lake Marissa, DE 79809",,,1986,Frame,6,,,,,1345.67,1345.67,1010.17,Direct Bill,,,FALSE,TRUE,335.5
MBY9275386,GEIC,120009,Renewal,4/1/2025,4/1/2026,4/1/2025,12,BOP,Businessowners,Angelica Young,angelica.young@example.com,"5204 Janice Vista, North Jimmy, OK 17769",OK,"5204 Janice Vista, North Jimmy, OK 17769",,,,Frame,10,,,,,2826.49,2826.49,2121.8,Direct Bill,,,FALSE,FALSE,704.69
KFV7422175,TRAV,120279,Renewal,4/1/2025,4/1/2026,4/1/2025,12,Homeowners,HO3,Crystal Sutton,crystal.sutton@mail.com,"06990 William Trail, Lewismouth, MS 94286",MS,"06990 William Trail, Lewismouth, MS 94286",,,2001,Frame,5,,,,,918.85,918.85,689.77,Direct Bill,,,FALSE,TRUE,229.08
VWY0123905,PRGS,120242,Renewal,4/1/2025,4/1/2026,4/1/2025,12,Homeowners,HO3,Julie Ramirez,julie.ramirez@example.com,"5842 Scott Knolls Suite 251, Brendaberg, ID 13859",ID,"5842 Scott Knolls Suite 251, Brendaberg, ID 13859",,,1992,Fire Resistive,3,,,,,2375.46,2375.46,1783.22,Agency Bill,,,FALSE,TRUE,592.24
RCJ5245194,HART,120021,Renewal,4/1/2025,4/1/2026,4/1/2025,12,Homeowners,HO3,Tammy Johnson,tammy.johnson@mail.com,"37790 Herbert Mountain Suite 663, Jamesport, NC 84294",NC,"37790 Herbert Mountain Suite 663, Jamesport, NC 84294",,,2008,Fire Resistive,6,,,,,500,500,375.34,Direct Bill,,,FALSE,TRUE,124.66
KGK3161561,NATI,120241,New,4/1/2025,4/1/2026,4/1/2025,12,Personal Auto,Private Passenger Auto,Gregory Matthews,gregory.matthews@example.com,"6197 Rodriguez Street, Benderhaven, WY 28546",WY,"6197 Rodriguez Street, Benderhaven, WY 28546",2,4,,,,50/100,50000,2500,250,1915.98,1915.98,1438.3,Direct Bill,,,FALSE,FALSE,477.68
XZS2030613,LIBM,120291,Renewal,4/1/2025,4/1/2026,4/1/2025,12,BOP,Businessowners,Nathan Berg,nathan.berg@example.com,"4634 Rebecca River Suite 424, East Allen, DE 41274",DE,"4634 Rebecca River Suite 424, East Allen, DE 41274",,,,Masonry Veneer,6,,,,,5005.18,5005.18,3757.31,Direct Bill,,,FALSE,TRUE,1247.87
XRL8852833,TRAV,120107,Renewal,4/1/2025,4/1/2026,4/1/2025,12,Personal Auto,Private Passenger Auto,Holly Wells,holly.wells@mail.com,"470 Long Trail, Lake Edwardburgh, UT 24817",UT,"470 Long Trail, Lake Edwardburgh, UT 24817",4,3,,,,50/100,100000,1000,500,1124.97,1124.97,844.5,Direct Bill,,,FALSE,TRUE,280.47
DMW0883586,CHUB,120218,Renewal,4/1/2025,4/1/2026,4/1/2025,12,Personal Auto,Private Passenger Auto,Melanie Daniels,melanie.daniels@policyhub.org,"453 Wilson Summit Suite 525, West Mark, WI 79193",WI,"453 Wilson Summit Suite 525, West Mark, WI 79193",3,2,,,,50/100,50000,250,250,3702.1,3702.1,2779.11,Direct Bill,,,FALSE,TRUE,922.99
MAG6593624,CHUB,120236,New,4/1/2025,4/1/2026,4/1/2025,12,Personal Auto,Private Passenger Auto,Andrea Smith,andrea.smith@insmail.com,"71332 Smith Island Apt. 663, Brandonport, SC 49693",SC,"71332 Smith Island Apt. 663, Brandonport, SC 49693",4,2,,,,50/100,50000,250,500,1239.9,1239.9,930.77,Agency Bill,,,FALSE,TRUE,309.13
DAF2376444,PRGS,120177,Renewal,4/1/2025,4/1/2026,4/1/2025,12,Homeowners,HO3,Randall Stokes,randall.stokes@customer.net,"03217 Patel Island, Mcintoshshire, GU 24443",GU,"03217 Patel Island, Mcintoshshire, GU 24443",,,1999,Non-Combustible,7,,,,,1720.41,1720.41,1291.49,Direct Bill,,,FALSE,TRUE,428.92
BNH4093698,CHUB,120292,Renewal,4/1/2025,4/1/2026,4/1/2025,12,WC,Workers Compensation,Michael Pruitt,michael.pruitt@customer.net,"57506 Bryan Ford Suite 043, New Christopher, FL 82202",FL,"57506 Bryan Ford Suite 043, New Christopher, FL 82202",,,,,,,,,,2000,2000,1501.37,Agency Bill,,,FALSE,TRUE,498.63
SPY2576655,FARM,120094,Endorsement,4/1/2025,4/1/2026,6/30/2025,12,Umbrella,Personal Umbrella,Joseph Kirk,joseph.kirk@policyhub.org,"4414 William Tunnel, Lake Kathytown, HI 56679",HI,"261 Ryan Street Suite 834, Nunezview, VT 48008",,,,,,,,,,319.75,8.32,240.03,Direct Bill,,,FALSE,TRUE,79.72
WHF6144877,PRGS,120273,Renewal,4/1/2025,4/1/2026,4/1/2025,12,Homeowners,HO3,Brenda Curtis,brenda.curtis@insmail.com,"144 Sanchez Flats, Port Teresa, IL 58148",IL,"144 Sanchez Flats, Port Teresa, IL 58148",,,1998,Frame,7,,,,,833.95,833.95,626.03,Agency Bill,,,FALSE,TRUE,207.92
ALW0764133,CHUB,120236,Renewal,4/1/2025,4/1/2026,4/1/2025,12,Homeowners,HO3,Judith Carrillo,judith.carrillo@insmail.com,"04566 Evan Avenue, South Sarahland, KY 02580",KY,"04566 Evan Avenue, South Sarahland, KY 02580",,,1978,Joisted Masonry,3,,,,,951.89,951.89,714.57,Direct Bill,,,FALSE,TRUE,237.32
GFV2690838,CHUB,120216,New,4/1/2025,4/1/2026,4/1/2025,12,Personal Auto,Private Passenger Auto,Kimberly Bishop,kimberly.bishop@policyhub.org,"769 Mclaughlin Inlet, Kevinborough, MO 93452",MO,"769 Mclaughlin Inlet, Kevinborough, MO 93452",2,1,,,,50/100,100000,500,500,1274.73,1274.73,956.92,Direct Bill,,,FALSE,TRUE,317.81
UJL5727833,TRAV,120289,Renewal,4/1/2025,4/1/2026,4/1/2025,12,WC,Workers Compensation,Rachel Cook,rachel.cook@insmail.com,"0208 Thomas Common Suite 861, Jessicaville, AS 38823",AS,"0208 Thomas Common Suite 861, Jessicaville, AS 38823",,,,,,,,,,9437.31,9437.31,7084.45,Direct Bill,,,FALSE,TRUE,2352.86
HEK7408414,PRGS,120018,Renewal,4/1/2025,4/1/2026,4/1/2025,12,Homeowners,HO3,Wayne Cruz,wayne.cruz@customer.net,"174 James Lights Suite 851, Cindyberg, TX 36852",TX,"919 Thomas Courts, Lake Christina, OR 51744",,,2007,Masonry,7,,,,,940.22,940.22,705.81,Direct Bill,,,FALSE,TRUE,234.41
GSZ4077404,ALLS,120188,New,4/1/2025,4/1/2026,4/1/2025,12,Personal Auto,Private Passenger Auto,Tyler Noble,tyler.noble@insmail.com,"191 Grimes Glen Apt. 894, Alexanderview, OK 09305",OK,"191 Grimes Glen Apt. 894, Alexanderview, OK 09305",2,2,,,,25/50,250000,1000,500,1929.48,1929.48,1448.43,Direct Bill,,,FALSE,TRUE,481.05
PAL2259984,TRAV,120150,Renewal,4/1/2025,4/1/2026,4/1/2025,12,Personal Auto,Private Passenger Auto,Shelia Anthony,shelia.anthony@insmail.com,"8965 Richard Village Apt. 490, Emilyton, SD 55262",SD,"8965 Richard Village Apt. 490, Emilyton, SD 55262",3,2,,,,50/100,100000,250,2500,2150.38,2150.38,1614.26,Direct Bill,,,FALSE,TRUE,536.12
KTF3440474,AMFA,120181,New,4/1/2025,4/1/2026,4/1/2025,12,Personal Auto,Private Passenger Auto,Eric Adams,eric.adams@customer.net,"2076 Price Circle, Port Joshua, WV 68259",WV,"2076 Price Circle, Port Joshua, WV 68259",1,3,,,,50/100,250000,250,500,2042.38,2042.38,1533.18,Direct Bill,,,FALSE,TRUE,509.2
LMU8616132,HART,120272,Renewal,4/1/2025,4/1/2026,4/1/2025,12,Homeowners,HO3,Tina Juarez,tina.juarez@customer.net,"8061 Nguyen Keys Suite 569, New Patricia, NM 86480",NM,"8061 Nguyen Keys Suite 569, New Patricia, NM 86480",,,1988,Non-Combustible,1,,,,,2661.95,2661.95,1998.29,Direct Bill,,,FALSE,TRUE,663.66
MBU2060857,PRGS,120013,Renewal,4/1/2025,4/1/2026,4/1/2025,12,Homeowners,HO3,Brittney Hunt,brittney.hunt@customer.net,"98285 Brian Prairie, Owensville, NJ 31456",NJ,"98285 Brian Prairie, Owensville, NJ 31456",,,2001,Masonry,3,,,,,985.7,985.7,739.95,Direct Bill,,,FALSE,TRUE,245.75
WGK4673834,LIBM,120254,New,4/1/2025,4/1/2026,4/1/2025,12,Personal Auto,Private Passenger Auto,Jerry Kelley,jerry.kelley@mail.com,"197 Sonia Mountains, Erikaburgh, SC 10580",SC,"7795 Smith Mount Apt. 001, Port Kara, SC 88394",2,1,,,,50/100,50000,250,250,1079.87,1079.87,810.64,Direct Bill,,,FALSE,TRUE,269.23
FZB1789764,CHUB,120011,Renewal,4/1/2025,4/1/2026,4/1/2025,12,Homeowners,HO3,David Harris,david.harris@insmail.com,"860 Paul Vista, Shaneview, MD 47660",MD,"860 Paul Vista, Shaneview, MD 47660",,,2003,Masonry Veneer,5,,,,,860.57,860.57,646.02,Direct Bill,,,FALSE,TRUE,214.55
BWN6534583,ALLS,120233,Renewal,4/1/2025,4/1/2026,4/1/2025,12,BOP,Businessowners,Elizabeth Robinson,elizabeth.robinson@example.com,"897 Gregory Unions Suite 648, Nguyenfort, MD 65465",MD,"897 Gregory Unions Suite 648, Nguyenfort, MD 65465",,,,Frame,5,,,,,2138.81,2138.81,1605.57,Direct Bill,,,FALSE,TRUE,533.24
LXH3495783,CHUB,120255,New,4/1/2025,4/1/2026,4/1/2025,12,Personal Auto,Private Passenger Auto,Gina Graves,gina.graves@policyhub.org,"51857 Lewis Skyway Suite 455, East Yvonne, AS 56318",AS,"51857 Lewis Skyway Suite 455, East Yvonne, AS 56318",1,2,,,,25/50,100000,500,500,2539.83,2539.83,1906.61,Direct Bill,,,FALSE,TRUE,633.22
ZNW5896380,CHUB,120088,New,4/1/2025,4/1/2026,4/1/2025,12,Personal Auto,Private Passenger Auto,Jo Schneider,jo.schneider@mail.com,"9519 Byrd Bypass Apt. 704, South Victor, PA 26352",PA,"9519 Byrd Bypass Apt. 704, South Victor, PA 26352",2,1,,,,50/100,100000,1000,500,1261.7,1261.7,947.14,Direct Bill,,,FALSE,TRUE,314.56
VUM2825486,LIBM,120272,Cancel,4/1/2025,2/26/2026,2/26/2026,12,Package,Commercial Package,Paul Miranda,paul.miranda@mail.com,"52450 Wolfe Corner Suite 953, Mcfarlandstad, MT 51007",MT,"52450 Wolfe Corner Suite 953, Mcfarlandstad, MT 51007",,,,Frame,6,,,,,3485.87,0,2885.58,Direct Bill,4/24/2023,,FALSE,TRUE,600.29
YFT1489908,AMFA,120012,New,4/1/2025,4/1/2026,4/1/2025,12,Personal Auto,Private Passenger Auto,John Camacho,john.camacho@customer.net,"4372 Bailey Trace Apt. 274, Bernardfurt, ND 67783",ND,"315 Steven Vista Apt. 980, New Dawn, AR 57575",2,2,,,,50/100,100000,250,500,2016.63,2016.63,1513.85,Agency Bill,,,FALSE,FALSE,502.78
RBT2314896,LIBM,120050,New,4/1/2025,4/1/2026,4/1/2025,12,Personal Auto,Private Passenger Auto,Janice Ward,janice.ward@mail.com,"660 Kathleen Springs, West Tim, OK 59936",OK,"660 Kathleen Springs, West Tim, OK 59936",1,2,,,,50/100,100000,2500,500,1867.32,1867.32,1401.77,Direct Bill,,,FALSE,TRUE,465.55
ENW5438065,NATI,120224,New,4/1/2025,4/1/2026,4/1/2025,12,Personal Auto,Private Passenger Auto,Shelly Butler,shelly.butler@example.com,"06288 Kevin Ports, East Kristinton, MN 04601",MN,"7409 Nicole Gateway, Whiteview, FM 68134",3,1,,,,25/50,100000,250,1000,1321.2,1321.2,991.8,Direct Bill,,,FALSE,TRUE,329.4
TCK8953085,GEIC,120190,New,4/1/2025,4/1/2026,4/1/2025,12,Personal Auto,Private Passenger Auto,Danielle Black,danielle.black@example.com,"1627 Garrison Street, Ryanton, MT 85334",MT,"1627 Garrison Street, Ryanton, MT 85334",1,2,,,,50/100,100000,500,1000,1675.39,1675.39,1257.69,Direct Bill,,,FALSE,TRUE,417.7
GYE7927219,ALLS,120034,New,4/1/2025,4/1/2026,4/1/2025,12,Personal Auto,Private Passenger Auto,Kevin Pittman,kevin.pittman@example.com,"8626 Ward Falls, Adambury, AK 97748",AK,"8626 Ward Falls, Adambury, AK 97748",2,2,,,,25/50,100000,1000,500,1443.99,1443.99,1083.98,Direct Bill,,,FALSE,TRUE,360.01
KTF9314391,LIBM,120191,New,4/1/2025,4/1/2026,4/1/2025,12,Personal Auto,Private Passenger Auto,Amber Webster,amber.webster@customer.net,"318 Smith Summit, Joshuaville, MH 08572",MH,"318 Smith Summit, Joshuaville, MH 08572",3,1,,,,25/50,100000,1000,1000,481.28,481.28,361.29,Agency Bill,,,FALSE,FALSE,119.99
SUS8725345,LIBM,120129,New,4/1/2025,4/1/2026,4/1/2025,12,Personal Auto,Private Passenger Auto,Katherine Yu,katherine.yu@mail.com,"424 Brian Tunnel, Rodriguezberg, VT 03978",VT,"424 Brian Tunnel, Rodriguezberg, VT 03978",3,1,,,,50/100,250000,500,1000,1628.35,1628.35,1222.38,Direct Bill,,,FALSE,TRUE,405.97
NXY3623079,GEIC,120026,Renewal,4/1/2025,4/1/2026,4/1/2025,12,Umbrella,Personal Umbrella,Susan Casey,susan.casey@insmail.com,"909 Lance Club Suite 842, Danielhaven, AS 27701",AS,"909 Lance Club Suite 842, Danielhaven, AS 27701",,,,,,,,,,783.19,783.19,587.93,Agency Bill,,,FALSE,TRUE,195.26
GJX1158895,ALLS,120092,New,4/1/2025,4/1/2026,4/1/2025,12,Personal Auto,Private Passenger Auto,Nathan Lewis,nathan.lewis@mail.com,"7151 Flores Square Apt. 783, Martinland, ND 23299",ND,"7151 Flores Square Apt. 783, Martinland, ND 23299",1,1,,,,25/50,250000,500,500,995.77,995.77,747.51,Direct Bill,,,FALSE,FALSE,248.26
FYC7046036,NATI,120038,Renewal,4/1/2025,4/1/2026,4/1/2025,12,BOP,Businessowners,James Hanson,james.hanson@example.com,"838 Alexander Mill, Williamfort, NH 47338",NH,"838 Alexander Mill, Williamfort, NH 47338",,,,Frame,5,,,,,1500,1500,1126.03,Direct Bill,,,FALSE,TRUE,373.97
UGU8110888,NATI,120008,Renewal,4/1/2025,4/1/2026,4/1/2025,12,Homeowners,HO3,Kimberly Lewis,kimberly.lewis@mail.com,"0155 Timothy Shores Suite 941, Johnborough, AR 58221",AR,"0155 Timothy Shores Suite 941, Johnborough, AR 58221",,,1996,Frame,7,,,,,1027.88,1027.88,771.61,Direct Bill,,,FALSE,TRUE,256.27
YUA1335632,PRGS,120289,Renewal,4/1/2025,4/1/2026,4/1/2025,12,WC,Workers Compensation,James Washington,james.washington@customer.net,"2356 Reed Key Suite 812, North Kevinberg, WY 72797",WY,"2356 Reed Key Suite 812, North Kevinberg, WY 72797",,,,,,,,,,4492.4,4492.4,3372.38,Direct Bill,,,FALSE,FALSE,1120.02
WMB7767685,NATI,120260,New,4/1/2025,4/1/2026,4/1/2025,12,Personal Auto,Private Passenger Auto,Jeffrey Mckenzie,jeffrey.mckenzie@policyhub.org,"3607 Scott Lane, Jacobside, MA 61875",MA,"3607 Scott Lane, Jacobside, MA 61875",2,1,,,,50/100,500000,500,500,2559.37,2559.37,1921.28,Agency Bill,,,FALSE,TRUE,638.09
YPV7816286,GEIC,120194,New,4/1/2025,4/1/2026,4/1/2025,12,Personal Auto,Private Passenger Auto,John Castillo,john.castillo@insmail.com,"1010 Michael Lodge, North John, MS 91779",MS,"562 Robinson Village, Davidhaven, IL 68717",2,1,,,,25/50,50000,500,1000,981.78,981.78,737.01,Direct Bill,,,FALSE,TRUE,244.77
GHH3534650,ALLS,120290,Renewal,4/1/2025,4/1/2026,4/1/2025,12,BOP,Businessowners,Kenneth Brown,kenneth.brown@mail.com,"220 Watts Mountains, East Adam, MO 66894",MO,"220 Watts Mountains, East Adam, MO 66894",,,,Joisted Masonry,7,,,,,6113.91,6113.91,4589.62,Direct Bill,,,FALSE,FALSE,1524.29
GKM4066207,TRAV,120121,Endorsement,4/1/2025,4/1/2026,4/3/2025,12,Umbrella,Personal Umbrella,James Edwards,james.edwards@insmail.com,"565 Michael Oval Apt. 730, Michaelville, ND 85373",ND,"565 Michael Oval Apt. 730, Michaelville, ND 85373",,,,,,,,,,959.87,49.94,720.56,Direct Bill,,,FALSE,TRUE,239.31
ZZT2739237,HART,120252,Renewal,4/1/2025,4/1/2026,4/1/2025,12,BOP,Businessowners,Steven Miller,steven.miller@mail.com,"09843 Brown Junction, New Traci, OK 77299",OK,"09843 Brown Junction, New Traci, OK 77299",,,,Frame,4,,,,,3160.01,3160.01,2372.17,Direct Bill,,,FALSE,TRUE,787.84
RHT8933869,TRAV,120224,Endorsement,4/1/2025,4/1/2026,10/17/2025,12,Umbrella,Personal Umbrella,Jordan Fuller,jordan.fuller@customer.net,"710 Jennifer Turnpike Apt. 223, Lisastad, VT 82045",VT,"4919 Samantha Oval Suite 319, Susanshire, NE 47204",,,,,,,,,,322.78,-26,242.31,Agency Bill,,,FALSE,TRUE,80.47
PRN2192679,LIBM,120105,Rewrite,4/1/2025,4/1/2026,4/1/2025,12,Package,Commercial Package,Angela Brewer,angela.brewer@insmail.com,"336 Jessica Mill, Donnaland, SD 08801",SD,"336 Jessica Mill, Donnaland, SD 08801",,,,Masonry,5,,,,,10933.97,10933.97,8207.97,Agency Bill,,,TRUE,TRUE,2726
RCY5145527,PRGS,120213,Renewal,4/1/2025,4/1/2026,4/1/2025,12,WC,Workers Compensation,Sarah Hernandez,sarah.hernandez@example.com,"1942 Phillips Burgs Suite 800, South Austinstad, CT 34025",CT,"1942 Phillips Burgs Suite 800, South Austinstad, CT 34025",,,,,,,,,,2000,2000,1501.37,Direct Bill,,,FALSE,TRUE,498.63
VJZ9055983,AMFA,120111,Endorsement,4/1/2025,4/1/2026,8/12/2025,12,Umbrella,Personal Umbrella,Drew Lopez,drew.lopez@example.com,"14534 Brown Manors, Michaelfort, OH 72970",OH,"14534 Brown Manors, Michaelfort, OH 72970",,,,,,,,,,481.29,46.61,361.3,Direct Bill,,,FALSE,TRUE,119.99
PNH5553221,LIBM,120061,Renewal,4/1/2025,4/1/2026,4/1/2025,12,Homeowners,HO3,Kevin Gordon,kevin.gordon@policyhub.org,"540 Joseph Falls Suite 006, North Timothy, PA 41686",PA,"540 Joseph Falls Suite 006, North Timothy, PA 41686",,,1989,Masonry Veneer,6,,,,,1147.88,1147.88,861.7,Agency Bill,,,FALSE,FALSE,286.18
ZUV9320370,ALLS,120049,Renewal,4/1/2025,4/1/2026,4/1/2025,12,Homeowners,HO3,Lisa Weaver,lisa.weaver@example.com,"3028 Emily Hills Apt. 901, Pamelashire, TX 47246",TX,"1481 Rebekah Mission Suite 544, Aliciafurt, CA 78027",,,1982,Joisted Masonry,5,,,,,856.7,856.7,643.11,Direct Bill,,,FALSE,TRUE,213.59
UVL7463759,ALLS,120228,Renewal,4/1/2025,4/1/2026,4/1/2025,12,BOP,Businessowners,Holly Thomas,holly.thomas@policyhub.org,"889 Costa Fall, Christopherfurt, ME 93063",ME,"889 Costa Fall, Christopherfurt, ME 93063",,,,Non-Combustible,4,,,,,6118.03,6118.03,4592.71,Direct Bill,,,FALSE,TRUE,1525.32
LVZ1107431,PRGS,120250,New,4/1/2025,4/1/2026,4/1/2025,12,Personal Auto,Private Passenger Auto,David Rodriguez,david.rodriguez@mail.com,"471 Kristen Throughway Apt. 369, Ethanview, IL 39452",IL,"4549 Wilson Stravenue Suite 328, New Justinmouth, SD 32177",2,2,,,,50/100,100000,250,2500,1402.47,1402.47,1052.81,Direct Bill,,,FALSE,TRUE,349.66
LXV9797376,HART,120024,Renewal,4/1/2025,4/1/2026,4/1/2025,12,Umbrella,Personal Umbrella,Kurt Weiss,kurt.weiss@policyhub.org,"431 Andrew Shore Suite 210, Martinland, VI 09144",VI,"431 Andrew Shore Suite 210, Martinland, VI 09144",,,,,,,,,,286.65,286.65,215.18,Direct Bill,,,FALSE,TRUE,71.47
VSV0927706,TRAV,120193,Renewal,4/1/2025,4/1/2026,4/1/2025,12,Homeowners,HO3,Mark Henry,mark.henry@example.com,"296 Amber Rapid Suite 487, Davidland, DC 57320",DC,"296 Amber Rapid Suite 487, Davidland, DC 57320",,,1985,Masonry,6,,,,,721.13,721.13,541.34,Direct Bill,,,FALSE,TRUE,179.79
XRF4351228,TRAV,120233,Renewal,4/1/2025,4/1/2026,4/1/2025,12,BOP,Businessowners,Charles Young,charles.young@policyhub.org,"130 Warren Mill Apt. 607, Port Anthonychester, TN 76104",TN,"132 Jennifer Haven, Haysside, LA 13229",,,,Non-Combustible,5,,,,,1500,1500,1126.03,Agency Bill,,,FALSE,TRUE,373.97
GRX9065101,GEIC,120266,Endorsement,4/1/2025,4/1/2026,4/7/2025,12,Umbrella,Personal Umbrella,Dana Moreno,dana.moreno@example.com,"47421 Jeffrey Road Suite 965, South Rachelshire, GU 37432",GU,"47421 Jeffrey Road Suite 965, South Rachelshire, GU 37432",,,,,,,,,,467.84,-16.36,351.2,Direct Bill,,,FALSE,TRUE,116.64
YUF8794599,ALLS,120008,Renewal,4/1/2025,4/1/2026,4/1/2025,12,BOP,Businessowners,Tonya Myers,tonya.myers@example.com,"2543 Raymond Crescent, North Linda, PW 38286",PW,"2543 Raymond Crescent, North Linda, PW 38286",,,,Masonry,6,,,,,8218.4,8218.4,6169.43,Direct Bill,,,FALSE,FALSE,2048.97
AWK8397619,AMFA,120242,Renewal,4/1/2025,4/1/2026,4/1/2025,12,Homeowners,HO3,Brian Pena,brian.pena@insmail.com,"6242 Ramos Fork, Conniefort, PW 14060",PW,"6242 Ramos Fork, Conniefort, PW 14060",,,1989,Frame,9,,,,,2765.73,2765.73,2076.19,Agency Bill,,,FALSE,FALSE,689.54
SBU7298374,NATI,120062,New,4/1/2025,4/1/2026,4/1/2025,12,Personal Auto,Private Passenger Auto,David Taylor,david.taylor@policyhub.org,"8375 Warner Drives Apt. 288, Perezland, WV 34571",WV,"8375 Warner Drives Apt. 288, Perezland, WV 34571",3,1,,,,50/100,100000,250,500,2419.48,2419.48,1816.27,Direct Bill,,,FALSE,TRUE,603.21
DUR1583930,NATI,120082,Renewal,4/1/2025,4/1/2026,4/1/2025,12,Homeowners,HO3,Joshua Williams,joshua.williams@insmail.com,"5349 Owens Shore Apt. 258, Laneside, HI 81761",HI,"5349 Owens Shore Apt. 258, Laneside, HI 81761",,,1980,Frame,6,,,,,1720.24,1720.24,1291.36,Direct Bill,,,FALSE,TRUE,428.88
FCL5630804,CHUB,120129,Renewal,4/1/2025,4/1/2026,4/1/2025,12,BOP,Businessowners,Matthew Acosta,matthew.acosta@policyhub.org,"9112 Gonzalez Junctions, North Barbaramouth, AL 54914",AL,"9112 Gonzalez Junctions, North Barbaramouth, AL 54914",,,,Frame,6,,,,,6190.26,6190.26,4646.93,Agency Bill,,,FALSE,FALSE,1543.33
NGD6856815,LIBM,120221,New,4/1/2025,4/1/2026,4/1/2025,12,Personal Auto,Private Passenger Auto,Jesus Fuentes,jesus.fuentes@example.com,"80895 Joseph Prairie, North Ashlee, NM 17137",NM,"80895 Joseph Prairie, North Ashlee, NM 17137",1,1,,,,50/100,250000,500,250,947.41,947.41,711.21,Direct Bill,,,FALSE,TRUE,236.2
GFG4245712,PRGS,120061,Renewal,4/1/2025,4/1/2026,4/1/2025,12,Homeowners,HO3,Richard Chavez,richard.chavez@example.com,"7393 Smith Fall Suite 962, East Michael, GU 66522",GU,"7393 Smith Fall Suite 962, East Michael, GU 66522",,,2019,Masonry,6,,,,,1717.51,1717.51,1289.31,Direct Bill,,,FALSE,TRUE,428.2
LKJ0840951,GEIC,120150,New,4/1/2025,4/1/2026,4/1/2025,12,Personal Auto,Private Passenger Auto,Eric Wood,eric.wood@insmail.com,"431 Chapman Cove, Rodriguezmouth, MI 44028",MI,"431 Chapman Cove, Rodriguezmouth, MI 44028",2,2,,,,25/50,100000,1000,500,1619.72,1619.72,1215.9,Direct Bill,,,FALSE,TRUE,403.82
HNP8786460,FARM,120297,Renewal,4/1/2025,4/1/2026,4/1/2025,12,Umbrella,Personal Umbrella,Christopher Martin,christopher.martin@insmail.com,"11409 Kim Mountains Suite 135, Reynoldsland, AR 41596",AR,"11409 Kim Mountains Suite 135, Reynoldsland, AR 41596",,,,,,,,,,318.02,318.02,238.73,Direct Bill,,,FALSE,TRUE,79.29
VHP5609253,FARM,120274,Renewal,4/1/2025,4/1/2026,4/1/2025,12,Personal Auto,Private Passenger Auto,Joshua Mcintosh,joshua.mcintosh@insmail.com,"5859 Ryan Forge, Ruizland, CA 94424",CA,"5859 Ryan Forge, Ruizland, CA 94424",1,2,,,,50/100,100000,500,500,1583.95,1583.95,1189.05,Direct Bill,,,FALSE,TRUE,394.9
VGW2609718,GEIC,120038,Cancel,4/1/2025,2/21/2026,2/21/2026,12,Package,Commercial Package,Richard Roberts,richard.roberts@policyhub.org,"822 David Dam Suite 648, West Joseshire, NH 83454",NH,"1248 John Islands Suite 505, Nicholasmouth, HI 85807",,,,Non-Combustible,7,,,,,3000,0,2521.47,Direct Bill,5/19/2024,,FALSE,TRUE,478.53
CCJ3598713,NATI,120011,Renewal,4/1/2025,4/1/2026,4/1/2025,12,WC,Workers Compensation,Marc Gonzalez,marc.gonzalez@insmail.com,"547 Kaufman Unions Apt. 723, East Eric, AL 12703",AL,"547 Kaufman Unions Apt. 723, East Eric, AL 12703",,,,,,,,,,3649.07,3649.07,2739.3,Direct Bill,,,FALSE,TRUE,909.77
UEV1362225,HART,120134,Cancel,4/1/2025,11/9/2025,11/9/2025,12,Package,Commercial Package,Thomas Smith,thomas.smith@mail.com,"6137 Kimberly Squares, West Lisa, CA 77495",CA,"6137 Kimberly Squares, West Lisa, CA 77495",,,,Frame,7,,,,,14627.25,0,14627.25,Agency Bill,8/30/2024,,FALSE,TRUE,0
KCA2327314,TRAV,120058,Renewal,4/1/2025,4/1/2026,4/1/2025,12,BOP,Businessowners,James Henson,james.henson@insmail.com,"516 Mckee Station Suite 702, Rodriguezborough, AS 70481",AS,"516 Mckee Station Suite 702, Rodriguezborough, AS 70481",,,,Masonry Veneer,5,,,,,2714.82,2714.82,2037.97,Direct Bill,,,FALSE,TRUE,676.85
