CarrierCode,AgentCode,PolicyNumber,ClaimNumber,LossDate,ReportDate,ClaimStatus,CauseOfLoss,LossLocation,PaidLossAmount,PaidExpenseAmount,ReserveLossAmount,ReserveExpenseAmount,CloseDate,ReopenDate,AdjusterContact
CHUB,120176,EVE7907160,2025-000121,2025-08-19,2025-08-22,Closed,Glass,"409 Cody Land, Nicholasville, KY 45272",2136.74,380.04,0.0,0.0,2025-11-21,,"A. Wallace, 474-259-4413x12209"
GEIC,120149,KVK8239504,2025-000122,2025-08-19,2025-08-19,Closed,Weather,"331 Ruiz Oval Suite 379, Brendaberg, IA 81757",2945.86,478.9,0.0,0.0,2025-10-20,,"J. Obrien, 200.480.2261x045"
NATI,120294,HJM9415834,2025-000123,2025-08-21,2025-08-21,Closed,Water (non-flood),"546 Bryan Island Apt. 436, East Shellychester, OR 34189",4081.98,1050.26,0.0,0.0,2025-10-13,,"K. Gilbert, (966)282-2251x1528"
ALLS,120174,HFV6294771,2025-000124,2025-08-22,2025-08-22,Open,GL Prem/Ops,"734 Walker Meadows, South John, UT 82181",5495.11,1043.41,6702.67,726.55,,,"B. Duarte, 278-278-3430x94020"
CHUB,120292,BNH4093698,2025-000125,2025-08-22,2025-08-22,Open,Slip/Fall,"823 John Meadows Suite 134, New Elizabeth, FL 44051",18973.89,2010.35,22036.69,2468.5,,,"K. Rodriguez, 001-250-733-7951"
AMFA,120046,RYN1618980,2025-000126,2025-08-22,2025-08-23,Closed,Glass,"70833 Williams Lane Apt. 227, West Donnaport, IN 06551",1290.2,225.38,0.0,0.0,2025-11-01,,"S. Willis, 378-999-8541"
GEIC,120140,SKW1782416,2025-000127,2025-08-23,2025-08-23,Reopened,Liability BI/PD,"5907 Austin Manors, South Sierra, NY 51001",1026.13,121.97,666.95,169.5,2025-09-24,2025-12-17,"T. Smith, (274)488-9919"
LIBM,120083,PJD0009971,2025-000128,2025-08-24,2025-08-25,Closed,Collision,"794 Brooks Rapids, Georgemouth, DC 04390",409.75,80.76,0.0,0.0,2025-10-25,,"C. Coleman, +1-381-767-8073x70848"
NATI,120204,XTX0087829,2025-000129,2025-08-25,2025-08-25,Closed,Collision,"7095 Mark Gateway, Lake Christina, MI 84187",1299.61,168.96,0.0,0.0,2025-10-25,,"M. Bell, 001-588-533-9211"
TRAV,120195,ZJG6675225,2025-000130,2025-08-25,2025-08-26,Closed,Wind/Hail,"25184 Rodriguez Unions, Port Christopher, AK 18626",1909.78,95.49,0.0,0.0,2025-10-23,,"R. Frank, 309-529-8389"
ALLS,120061,EGA4075899,2025-000131,2025-08-25,2025-08-26,Open,Water (non-flood),"8992 Hoover Prairie Suite 307, Rhondafort, MO 11268",2694.38,343.46,10621.78,322.35,,,"T. Little, 724.859.2392x87030"
GEIC,120047,ZYN6038545,2025-000132,2025-08-26,2025-08-28,Open,Collision,"07244 Erin Drives Apt. 755, New Melissa, SC 00912",1719.87,569.81,2974.66,599.56,,,"P. Cole, 539-755-1445"
PRGS,120236,HCS8944012,2025-000133,2025-08-26,2025-08-26,Open,Collision,"7897 Deborah Plains Apt. 901, Scottside, MH 14550",2948.88,101.61,2349.19,406.45,,,"D. Booth, 712.340.2379x239"
CHUB,120177,YRG8378301,2025-000134,2025-08-27,2025-08-27,Open,Water (non-flood),"42795 Adriana Green Suite 787, North Rebecca, PA 04271",13240.52,14172.93,74322.15,745.94,,,"K. Lee, 001-448-492-4267x924"
AMFA,120004,JTD7356504,2025-000135,2025-08-29,2025-08-31,Open,Water,"73523 Thomas Corner Apt. 412, Frederickhaven, OR 86771",879.11,340.51,1353.78,219.32,,,"N. Mills, (333)243-3666"
PRGS,120252,JYL8362132,2025-000136,2025-08-30,2025-09-01,Closed,Fire,"76529 David Locks, Reillymouth, MT 58126",2807.21,972.69,0.0,0.0,2025-09-13,,"R. Lee, 300.642.2828x30534"
NATI,120124,ETB8803280,2025-000137,2025-08-31,2025-09-07,Open,Collision,"00877 Buckley Extensions Apt. 345, Lorimouth, AS 77939",347.31,62.09,1417.28,26.14,,,"L. Watkins, 652.878.8003"
TRAV,120276,PXY6945986,2025-000138,2025-09-01,2025-09-06,Closed,Weather,"21110 Kim Drive Suite 001, North Matthew, FL 55271",1794.19,228.4,0.0,0.0,2025-11-18,,"D. Cross, 001-892-584-2541x57866"
PRGS,120238,LJP0882957,2025-000139,2025-09-02,2025-09-04,Reopened,Weather,"316 Kristina Springs Apt. 346, East Brenda, MS 87736",4259.13,727.31,1351.46,317.81,2025-11-14,2025-12-30,"T. Bailey, 858-480-2429x6795"
FARM,120276,FDE6030549,2025-000140,2025-09-03,2025-09-06,Closed,Liability BI/PD,"071 Moore Circle, West Josephbury, ND 37110",7118.49,1495.31,0.0,0.0,2025-10-13,,"A. Ballard, 3583196176"
TRAV,120174,EXT3006957,2025-000141,2025-09-04,2025-09-05,Closed,Liability BI/PD,"068 Gary Spring, Port Jessica, NV 76791",12563.05,1226.63,0.0,0.0,2025-11-08,,"S. Goodwin, +1-581-826-8201x7873"
HART,120099,YYY3682920,2025-000142,2025-09-05,2025-09-05,Closed,Wind/Hail,"6390 Julie Camp Suite 333, North Nicholasborough, CO 80160",59689.31,15266.31,0.0,0.0,2025-12-18,,"W. Knapp, 001-389-297-6361x12273"
NATI,120267,RLS8394673,2025-000143,2025-09-05,2025-09-06,Closed,Property Wind/Hail,"234 Spencer View Suite 864, Heathhaven, NM 70269",7518.69,1761.46,0.0,0.0,2025-11-17,,"M. Wheeler, 241-863-4765x53953"
NATI,120160,VUJ9365722,2025-000144,2025-09-06,2025-09-08,Closed,Cut/Puncture,"388 Robert Court Apt. 313, Port Meganberg, NY 01838",12298.09,3510.96,0.0,0.0,2025-10-27,,"C. Garcia, 413.818.5998x592"
TRAV,120025,WWZ3230904,2025-000145,2025-09-07,2025-09-08,Closed,Wind/Hail,"4065 Eric Plaza Apt. 076, Gonzalezside, AS 31031",20011.79,4434.76,0.0,0.0,2025-10-31,,"S. Patterson, +1-622-971-5545"
CHUB,120284,FXH3133873,2025-000146,2025-09-09,2025-09-10,Closed,Liability BI/PD,"0144 Powers Views Suite 367, Katherinetown, ME 26579",3444.22,548.29,0.0,0.0,2025-11-22,,"N. Taylor, (679)707-4068x739"
HART,120127,WMN1940562,2025-000147,2025-09-09,2025-09-12,Closed,Liability BI/PD,"97242 Ferguson Shores, Triciachester, WA 70424",2170.91,217.95,0.0,0.0,2025-11-03,,"S. Dixon, 243.742.9824x801"
ALLS,120278,MJJ8570459,2025-000148,2025-09-10,2025-09-10,Closed,Collision,"58001 Alexandra Extensions, North Kellyville, CT 82422",398.27,62.96,0.0,0.0,2025-09-30,,"S. Cook, 785.874.9212"
FARM,120105,YCM4413551,2025-000149,2025-09-10,2025-09-11,Open,Wind/Hail,"36064 Hunt Summit Apt. 922, New Mary, MP 79754",3404.45,2107.65,10266.07,1116.76,,,"A. Day, +1-656-726-9574x52063"
ALLS,120260,UJR5721533,2025-000150,2025-09-10,2025-09-10,Closed,Glass,"259 Valenzuela Turnpike, Lake Derrick, MI 55653",10705.65,2753.84,0.0,0.0,2025-09-29,,"T. Lee, (335)202-8306x13261"
NATI,120074,EZF2737624,2025-000151,2025-09-11,2025-09-11,Closed,Collision,"198 Rachel Expressway, Darrelltown, OR 94339",715.72,128.16,0.0,0.0,2025-11-15,,"T. Perez, 586.378.8014x65083"
AMFA,120161,LHF6149566,2025-000152,2025-09-11,2025-09-15,Open,Wind/Hail,"008 Justin Creek Suite 278, Salazarmouth, GA 40059",750.51,252.78,879.86,139.08,,,"J. Prince, 687.641.4457"
TRAV,120123,MPX4867793,2025-000153,2025-09-12,2025-09-12,Open,Cut/Puncture,"0243 Carlos Motorway, Port Catherine, IN 70529",947.43,416.76,3078.58,168.84,,,"K. Butler, (518)812-4335x23426"
GEIC,120177,SHB9171528,2025-000154,2025-09-14,2025-09-14,Open,Theft/Vandalism,"887 Cortez Crest Suite 713, Melindafurt, MP 32275",2128.77,2455.57,10299.76,811.0,,,"A. Odonnell, 871.751.8891"
GEIC,120229,ERW1658435,2025-000155,2025-09-14,2025-09-14,Closed,Comprehensive Theft,"02355 Ashley Ford Apt. 053, Paulmouth, MS 37824",1394.0,305.32,0.0,0.0,2025-12-11,,"M. Cox, 695.591.5072"
CHUB,120245,GEE0991717,2025-000156,2025-09-16,2025-09-16,Closed,Collision,"70742 Price Lake, South Devonshire, PA 91129",5723.97,1414.77,0.0,0.0,2025-10-29,,"A. Jones, 3758275469"
NATI,120203,GEU6818363,2025-000157,2025-09-16,2025-09-17,Closed,Collision,"2998 Matthew Motorway Suite 403, North Josephview, PW 02771",1390.02,349.41,0.0,0.0,2025-12-20,,"B. Maldonado, (388)476-8037x61769"
TRAV,120240,ZYN8228368,2025-000158,2025-09-16,2025-09-19,Closed,Glass,"371 Ryan Spurs, Gallegosfort, MH 14650",4701.86,537.81,0.0,0.0,2026-01-03,,"L. Williams, (304)559-8106x465"
HART,120056,USC1734693,2025-000159,2025-09-17,2025-09-17,Closed,Glass,"884 Sanders Union Suite 839, East Joan, ND 20743",1297.58,330.32,0.0,0.0,2025-11-29,,"D. Bishop, 598-934-6035x5128"
PRGS,120092,NET9611592,2025-000160,2025-09-19,2025-09-19,Open,Comprehensive Theft,"233 Kirk Summit Suite 520, Michaelside, MD 41541",240.96,194.63,2256.64,256.8,,,"L. May, +1-914-300-8552x4436"
NATI,120122,RLX9645762,2025-000161,2025-09-21,2025-09-22,Open,Property Wind/Hail,"958 Harris Walks Suite 085, Philipmouth, AK 99662",1288.17,147.78,962.5,299.07,,,"A. Hamilton, +1-820-231-5517x348"
GEIC,120093,KXW7679786,2025-000162,2025-09-22,2025-09-22,Closed,Collision,"00782 Reyes Land Apt. 584, Fosterberg, MT 86264",4930.6,775.8,0.0,0.0,2025-12-22,,"J. Jones, 660.902.8325"
CHUB,120126,KCA8581898,2025-000163,2025-09-23,2025-09-23,Open,Collision,"8589 Caroline Parks Suite 779, Barnettville, SC 88831",1199.95,437.29,1818.36,135.76,,,"H. Smith, (810)876-9030"
FARM,120289,WWZ4965145,2025-000164,2025-09-24,2025-09-25,Open,Collision,"791 Andrea Station, Victoriamouth, OK 88072",442.03,106.21,664.35,73.71,,,"M. Hansen, +1-459-953-4220x5581"
PRGS,120010,HPW3996660,2025-000165,2025-09-24,2025-09-24,Closed,Collision,"5258 Wendy Green Apt. 975, Biancaside, AS 17775",2216.55,505.29,0.0,0.0,2025-11-26,,"D. Adams, 7695510563"
TRAV,120229,VAG7970130,2025-000166,2025-09-24,2025-09-24,Closed,Glass,"31599 Villegas Meadows, New Tammy, MI 13971",12243.18,929.89,0.0,0.0,2025-11-21,,"P. Crawford, 299.362.2392x70534"
LIBM,120224,KPK1073943,2025-000167,2025-09-26,2025-09-26,Open,Water (non-flood),"22775 Logan Row Suite 958, Margaretton, NY 12102",3191.31,942.21,5532.17,779.92,,,"I. Baird, +1-429-291-5795x3593"
AMFA,120065,VFD8104408,2025-000168,2025-09-28,2025-09-29,Open,Collision,"48560 David Islands Apt. 308, Jessefurt, CT 36676",826.03,553.81,1037.96,70.41,,,"K. Williams, +1-947-430-8845x4644"
CHUB,120088,KNB0957482,2025-000169,2025-09-28,2025-09-28,Open,Comprehensive Theft,"55509 Anthony Mountain, Garytown, PA 88489",1493.65,345.51,2549.7,215.37,,,"C. Braun, +1-498-427-6543x9790"
NATI,120181,WDH5741551,2025-000170,2025-09-28,2025-09-29,Reopened,Collision,"962 Matthew Underpass Apt. 532, North Dean, OR 12013",2298.95,458.79,3350.24,624.02,2025-11-13,2025-12-17,"T. Ford, 972.996.9206x6963"
AMFA,120145,BCV6058876,2025-000171,2025-09-29,2025-10-03,Closed,Collision,"84097 Moyer Dale Apt. 270, Charlesport, NV 76811",3106.44,249.73,0.0,0.0,2026-02-08,,"D. Peterson, 524-206-2203x4039"
AMFA,120192,WYN9779813,2025-000172,2025-09-29,2025-09-30,Open,Collision,"5005 Barbara Lock Suite 368, Huffmanberg, KY 42914",1344.56,491.98,2764.68,688.87,,,"S. Jones, +1-899-226-5865x4996"
GEIC,120056,LMF0190068,2025-000173,2025-09-29,2025-09-29,Open,Weather,"387 Frazier Rest, Port Jackmouth, TN 76024",1411.77,299.83,1304.21,273.81,,,"A. Bates, 973.530.2800x599"
CHUB,120019,XXS3975412,2025-000174,2025-09-30,2025-10-01,Open,Fire,"887 Donna Grove, New Ericstad, AZ 58722",1163.07,98.88,1976.76,72.5,,,"J. Jordan, 357.368.4430x3293"
PRGS,120161,SRS8109934,2025-000175,2025-10-01,2025-10-02,Closed,Water,"77015 Anthony Crossing, Stewartville, VT 89407",1580.27,259.89,0.0,0.0,2025-11-10,,"J. Banks, 897-696-9555"
AMFA,120247,ARW4408733,2025-000176,2025-10-04,2025-10-04,Closed,Collision,"44595 Randy Junction, Robinsonton, FL 03830",6367.67,1146.65,0.0,0.0,2025-11-04,,"M. Wheeler, +1-919-203-6533x95753"
HART,120211,SMU7947712,2025-000177,2025-10-05,2025-10-05,Open,Cut/Puncture,"6437 Brewer Dam, Grayfurt, AS 73158",26219.84,9829.6,44406.05,2852.98,,,"S. Mayer, 650-381-9792x39169"
PRGS,120013,TXV2055200,2025-000178,2025-10-07,2025-10-09,Reopened,Collision,"6517 Valencia Oval Suite 760, Austintown, KY 61798",696.15,77.51,367.01,49.91,2025-11-17,2026-01-13,"T. Sanchez, +1-392-223-4056x47484"
CHUB,120108,ZPB4519935,2025-000179,2025-10-12,2025-10-15,Open,Property Fire,"47191 Smith Forest Apt. 844, Port Tylerview, ND 36233",7231.86,1608.27,37919.62,1207.82,,,"M. Cross, +1-236-671-0242x95339"
CHUB,120141,SVD2561045,2025-000180,2025-10-12,2025-10-14,Open,Collision,"13549 Michelle Ford, Englishton, VI 74154",976.85,199.16,1064.86,195.42,,,"A. Bailey, 315-310-7093"
CHUB,120126,JWA3652768,2025-000181,2025-10-16,2025-10-18,Open,Excess Auto,"1967 Petersen Estate, Johnstad, PW 85049",3825.63,500.3,5687.33,193.7,,,"K. Armstrong, +1-500-900-0985x6915"
PRGS,120153,XHM5009904,2025-000182,2025-10-19,2025-10-19,Closed,Collision,"9050 Miller Ville, Warrenburgh, ND 03939",7052.14,845.65,0.0,0.0,2026-02-10,,"J. Barnes, 975-454-3034"
ALLS,120014,UEM8536988,2025-000183,2025-10-19,2025-10-19,Open,Collision,"077 Stephen Park, Odomside, MO 91958",1665.47,1389.29,5806.32,987.05,,,"A. Brown, 997-832-7710x66449"
LIBM,120104,JSP1213451,2025-000184,2025-10-20,2025-10-20,Closed,Weather,"72516 Sandra Shores Apt. 691, Sarahtown, RI 34308",3115.03,618.17,0.0,0.0,2025-12-20,,"D. Wilson, +1-865-293-5993x0071"
NATI,120178,CWT0258672,2025-000185,2025-10-21,2025-10-22,Open,Fire,"4651 Ashley Garden Suite 872, East Andrewfurt, LA 67923",2640.18,685.96,3748.43,560.76,,,"L. Barry, 8943131000"
GEIC,120033,YNU4356359,2025-000186,2025-10-21,2025-10-24,Open,Collision,"58343 Jensen Road Apt. 899, New Davidside, UT 64444",163.04,72.9,279.91,14.96,,,"M. Adams, +1-802-224-5962x359"
HART,120241,HCE7584475,2025-000187,2025-10-21,2025-10-21,Closed,Wind/Hail,"0661 Gerald Island, South Jason, PA 21287",6267.28,609.24,0.0,0.0,2026-01-12,,"L. Schaefer, 001-869-797-7351x687"
LIBM,120124,FNR6479728,2025-000188,2025-10-21,2025-10-21,Open,Liability BI/PD,"5281 Donald Station, Nguyenland, WA 65527",583.05,274.89,1029.77,20.6,,,"D. Johnson, 492-783-4140x64974"
NATI,120105,FHR0548082,2025-000189,2025-10-23,2025-10-23,Open,Other,"811 Hayes Junctions, West Evanport, NV 13579",1475.72,562.73,3728.1,347.93,,,"A. Torres, (732)938-6383x9423"
GEIC,120195,DVX4330219,2025-000190,2025-10-23,2025-10-24,Closed,Glass,"3077 Brittney Extension, Melissaside, ID 09392",1574.97,109.8,0.0,0.0,2025-11-25,,"D. Blake, 467.384.3601"
CHUB,120019,EFT6297843,2025-000191,2025-10-24,2025-10-25,Open,Fire,"1631 Ortiz Harbor Apt. 294, New Megan, SD 62365",3640.49,791.37,8049.34,699.29,,,"K. Wilson, (426)799-5131"
TRAV,120100,RXV0810115,2025-000192,2025-10-25,2025-10-30,Open,Comprehensive Theft,"670 James Loaf Apt. 117, Lake Arielport, AR 54315",249.41,58.12,490.53,51.2,,,"L. Jacobson, 637.261.3141x485"
GEIC,120093,HVC0839505,2025-000193,2025-10-25,2025-10-27,Closed,Collision,"073 Joanna Crest, Maryport, DE 47921",293.26,74.44,0.0,0.0,2025-12-31,,"A. Mosley, 4684734589"
LIBM,120194,KXW7469306,2025-000194,2025-10-25,2025-10-26,Closed,Collision,"1114 Emma Burg, West Rachel, MI 16024",2634.38,517.33,0.0,0.0,2026-01-07,,"T. Gomez, (496)882-8291x15837"
NATI,120147,KWG2542407,2025-000195,2025-10-26,2025-10-28,Open,Cut/Puncture,"2751 Sarah Fork, Ericbury, RI 54699",1768.41,492.39,1537.27,294.63,,,"M. Johnson, 666-974-1665x316"
PRGS,120280,ALM4490840,2025-000196,2025-10-26,2025-10-26,Open,Collision,"050 Laura Mount Suite 852, North Seantown, CA 75920",1223.6,58.67,1317.85,68.4,,,"B. Boyer, 603-440-9425x0902"
PRGS,120012,TYY9759177,2025-000197,2025-10-28,2025-10-29,Closed,Wind/Hail,"605 Stafford Track Apt. 422, Morenoport, MP 47255",960.71,188.96,0.0,0.0,2026-01-15,,"K. Christensen, 001-395-740-8483"
NATI,120233,XYB1026129,2025-000198,2025-10-31,2025-11-01,Closed,Water (non-flood),"99350 Callahan Camp, New Bailey, MO 46421",11374.52,2503.66,0.0,0.0,2025-11-10,,"T. Martin, 001-919-730-7057x7667"
PRGS,120238,DRP0254871,2025-000199,2025-11-01,2025-11-01,Reopened,Collision,"299 Brian Neck, Whiteview, AL 77700",4056.67,873.53,1250.42,297.65,2026-02-19,2026-04-01,"A. Martinez, 9508708602"
NATI,120080,WED1665854,2025-000200,2025-11-03,2025-11-03,Open,Wind/Hail,"26979 Christopher Lake, North Stacy, DE 79098",5264.02,2803.34,11120.07,812.63,,,"J. Adkins, 910.865.1981x063"
FARM,120180,ULG4756214,2025-000201,2025-11-03,2025-11-04,Closed,Glass,"9076 Dylan Springs, Petersenchester, LA 67603",3518.59,399.86,0.0,0.0,2026-01-02,,"L. Thomas, 724-558-4424x961"
FARM,120052,ARG7946609,2025-000202,2025-11-05,2025-11-07,Closed,Water (non-flood),"373 Richards Springs Apt. 143, Parkerfort, FM 50637",31701.61,7938.84,0.0,0.0,2026-01-02,,"M. Baxter, +1-306-666-0410x016"
NATI,120183,FZD3702113,2025-000203,2025-11-05,2025-11-06,Closed,Collision,"2836 Sims Villages Apt. 594, Richardville, MD 99667",181.44,18.56,0.0,0.0,2026-02-14,,"A. Hernandez, 4083223082"
GEIC,120260,AXD7605066,2025-000204,2025-11-06,2025-11-06,Closed,Wind/Hail,"988 Michael Stravenue Apt. 011, West Angela, HI 52688",2289.01,213.02,0.0,0.0,2025-12-11,,"M. King, 5307444241"
ALLS,120177,YTU6537242,2025-000205,2025-11-07,2025-11-07,Closed,Fire,"07730 Ray Lodge Suite 737, Jennyburgh, PW 17017",3781.0,890.85,0.0,0.0,2026-01-26,,"T. Gomez, 835-923-3157x941"
TRAV,120070,SWW9720970,2025-000206,2025-11-11,2025-11-11,Open,Other,"3915 Kristen Ways Apt. 277, Rebekahview, AL 11136",2180.97,1259.55,3596.06,294.89,,,"P. Ward, 972-980-3633x68862"
FARM,120280,FLY6689900,2025-000207,2025-11-12,2025-11-12,Open,Water (non-flood),"725 Timothy Roads, South Kathleen, VA 61115",3192.95,427.39,2962.05,456.48,,,"I. Perez, 774-860-1382"
TRAV,120276,ECY7212229,2025-000208,2025-11-15,2025-11-15,Open,Liability BI/PD,"5629 Sara Valleys Apt. 167, Wagnertown, MN 50757",437.66,199.09,714.16,177.22,,,"B. Hernandez, 001-954-200-9179x219"
PRGS,120024,MPE7226781,2025-000209,2025-11-16,2025-11-18,Open,Wind/Hail,"77878 Crystal Inlet, Lake Richard, AZ 82998",2532.18,359.36,2408.49,369.22,,,"H. Brown, (481)820-2501x416"
GEIC,120074,PLS1190974,2025-000210,2025-11-17,2025-11-17,Open,Slip/Fall,"7334 Ramirez Burg Suite 750, Carterville, AR 40024",563.43,1997.6,10705.18,1061.36,,,"L. Johnson, (498)616-0393"
FARM,120163,ZMF5472785,2025-000211,2025-11-17,2025-11-19,Closed,Burglary,"1528 Fuller Loaf, Port Teresaland, WY 73921",7251.47,362.57,0.0,0.0,2026-02-22,,"A. Noble, 7693832534"
HART,120014,GFY7388257,2025-000212,2025-11-17,2025-11-20,Closed,Fire,"5165 Richards Centers Suite 622, North Tammy, MI 85585",6473.33,651.17,0.0,0.0,2026-01-27,,"J. Weber, 3148502521"
LIBM,120130,ERY4836148,2025-000213,2025-11-18,2025-11-19,Closed,Comprehensive Theft,"33099 Linda Ford Apt. 794, Elizabethmouth, NH 93614",2131.17,259.8,0.0,0.0,2026-02-17,,"M. Gentry, 001-739-481-4465x589"
PRGS,120032,WCJ9665809,2025-000214,2025-11-18,2025-11-19,Open,Theft/Vandalism,"89495 Jennifer Roads Apt. 500, Port Jamesview, PA 93005",131.49,44.14,303.47,20.9,,,"A. Frank, +1-759-670-4685x7955"
LIBM,120082,RUJ1241758,2025-000215,2025-11-19,2025-11-20,Open,Wind/Hail,"10520 Destiny Locks, Garystad, FL 02795",1976.82,321.02,2344.32,188.26,,,"V. Stewart, 6324206064"
NATI,120030,SBM9223040,2025-000216,2025-11-21,2025-11-25,Open,Comprehensive Theft,"92578 Sydney Estate Apt. 334, Port Kayla, CA 24168",506.4,45.89,288.75,31.58,,,"D. Cortez, 3007944381"
FARM,120128,CTZ3934366,2025-000217,2025-11-24,2025-11-24,Open,Comprehensive Theft,"905 Reid Meadow, New Nathanborough, IL 93394",1099.94,502.99,1589.04,88.99,,,"J. Rich, (975)829-2755"
FARM,120033,YWL0068295,2025-000218,2025-11-25,2025-11-25,Closed,Glass,"31689 Simon Crescent, Valerieview, GA 90895",2226.07,235.9,0.0,0.0,2026-01-01,,"J. Liu, (792)689-1934x8185"
PRGS,120125,CYV0477121,2025-000219,2025-11-25,2025-11-28,Open,Comprehensive Theft,"646 Lindsey Spurs Apt. 014, Stevenstad, FM 15287",1767.14,410.37,2658.33,537.57,,,"J. Gutierrez, (508)571-4206x18911"
AMFA,120129,LLP9122717,2025-000220,2025-11-26,2025-11-29,Open,Collision,"737 Felicia Wells, Ballton, TN 81950",2546.61,190.06,1153.09,117.96,,,"T. Ramos, (798)477-5006x7637"
ALLS,120168,MSS3557464,2025-000221,2025-11-26,2025-11-26,Reopened,Wind/Hail,"711 Tyler Fort Suite 173, Marshmouth, MI 61528",2979.61,599.42,1454.92,611.51,2026-01-14,2026-04-01,"J. Harrington, 939-897-9901x42380"
CHUB,120197,WZY8211494,2025-000222,2025-11-27,2025-11-27,Closed,Wind/Hail,"00853 Miller Mountain Suite 040, Port Thomas, CA 18387",1450.63,72.53,0.0,0.0,2025-12-20,,"M. Patel, (491)915-9767"
PRGS,120139,HLE5413938,2025-000223,2025-11-27,2025-11-30,Open,Liability BI/PD,"749 Scott Roads, East Markside, NE 68178",1559.45,591.12,3665.6,372.13,,,"S. Johnson, (860)862-3439"
GEIC,120080,WJB5738427,2025-000224,2025-11-28,2025-11-29,Open,Collision,"3929 Wright Street, North Ronniehaven, FM 18981",1260.77,442.72,3900.36,255.62,,,"J. Nelson, +1-577-635-6912x37554"
TRAV,120070,SWW9720970,2025-000225,2025-11-30,2025-12-02,Closed,Cut/Puncture,"3915 Kristen Ways Apt. 277, Rebekahview, AL 11136",76411.59,12963.95,0.0,0.0,2026-03-15,,"W. Gray, +1-213-765-2776x2661"
ALLS,120217,KPZ0523421,2025-000226,2025-12-02,2025-12-02,Open,Glass,"45984 Gordon Drive Suite 038, Estradaland, VA 64132",585.13,266.22,1266.45,206.9,,,"W. Jackson, +1-493-923-6669x743"
TRAV,120053,MGR2716129,2025-000227,2025-12-03,2025-12-05,Open,Strain/Sprain,"493 Paula Divide, Chaseton, HI 98038",902.58,520.96,4409.23,143.52,,,"C. Mendoza, 001-838-613-6879x445"
PRGS,120192,SND6536632,2025-000228,2025-12-06,2025-12-10,Open,Collision,"67739 Clinton Avenue, Kingchester, ID 04208",2346.84,561.32,3782.55,205.92,,,"A. Simon, 817-601-8357x7122"
LIBM,120294,HZE8146014,2025-000229,2025-12-06,2025-12-08,Reopened,Wind/Hail,"16550 Joseph Well, Walkerville, PR 19545",5346.06,477.53,3588.53,1214.17,2026-01-19,2026-04-01,"F. Wood, 2557164259"
CHUB,120013,PLD0424784,2025-000230,2025-12-07,2025-12-07,Closed,Collision,"83946 Moore Forge, Webbbury, NH 91388",675.79,33.79,0.0,0.0,2026-02-16,,"D. Cook, (811)429-5021x64498"
GEIC,120252,HYH5481030,2025-000231,2025-12-08,2025-12-08,Reopened,Collision,"936 Sims Spur, New Lauren, SD 90928",541.48,67.2,240.72,160.95,2026-02-19,2026-04-01,"M. Edwards, 503.731.8710"
TRAV,120263,NLS4292346,2025-000232,2025-12-08,2025-12-11,Open,Weather,"365 Michael Points Apt. 931, Wuside, ID 21922",1715.86,463.94,2505.7,575.56,,,"R. Park, (338)310-5913x5972"
NATI,120209,CDK7405589,2025-000233,2025-12-08,2025-12-10,Closed,Collision,"566 Hess Manor Apt. 196, Olsenhaven, TN 81365",6967.81,2038.91,0.0,0.0,2026-01-08,,"A. Melendez, 001-946-504-3581x59676"
LIBM,120161,ADF9428149,2025-000234,2025-12-11,2025-12-11,Open,Glass,"19231 Erica Stream, Cordovaton, NJ 60450",989.29,319.45,2161.94,278.33,,,"G. Edwards, 4895008902"
PRGS,120053,YCH5041235,2025-000235,2025-12-12,2025-12-12,Open,Wind/Hail,"485 Jeremiah Mountain Suite 206, Blackburnland, MT 77249",26546.91,4039.47,32073.28,3237.18,,,"B. Mitchell, (653)670-8112x9342"
TRAV,120263,NLS4292346,2025-000236,2025-12-15,2025-12-15,Open,Collision,"1754 Gilbert Highway, New Charlesfurt, ID 69962",370.17,71.84,372.22,42.93,,,"W. Wall, 226-372-1483"
ALLS,120066,TSH3524538,2025-000237,2025-12-15,2025-12-15,Open,Burglary,"2230 Angela Run Suite 083, Williamsshire, NC 87984",5473.21,1123.45,12520.25,1274.0,,,"J. Long, 001-350-812-3717"
FARM,120223,DDX7754694,2025-000238,2025-12-21,2025-12-21,Closed,Strain/Sprain,"14873 Stanley Causeway, Michaelfort, AZ 23088",104893.05,14464.54,0.0,0.0,2026-01-01,,"D. Shea, 737.225.3634x7853"
AMFA,120071,FUP2257482,2025-000239,2025-12-24,2025-12-24,Open,Collision,"01836 Gina Corners, Eileenstad, PR 87695",663.2,284.53,1590.46,170.12,,,"T. Jefferson, (372)645-2083x394"
AMFA,120181,KTF3440474,2025-000240,2025-12-25,2025-12-27,Open,Collision,"2462 John Flats, Abigailview, WV 11142",606.79,242.72,1240.88,137.49,,,"J. Hughes, 751-418-9662x40731"
HART,120096,DDP7084715,2025-000241,2025-12-31,2025-12-31,Open,Water,"0661 Park View Apt. 983, Tiffanyborough, NM 07263",3710.37,710.84,4034.06,477.5,,,"A. Perez, 9545735607"
PRGS,120028,GYA2942286,2026-000242,2026-01-02,2026-01-03,Closed,Collision,"022 Lance Parkways, Port Cassandra, WY 75136",1884.42,347.5,0.0,0.0,2026-03-02,,"M. Huff, 001-875-571-4992x4224"
